id,model,family,telemetry_source,condition,repeat_idx,rule,blessed,import_mode
20260528T050546_math_logic_r0_sviz_saaq,deepseek_coder_v2_lite_q6_k_l,deepseek2,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071456_rust_syntax_r0_sviz_rust,deepseek_coder_v2_lite_q6_k_l,deepseek2,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072724_english_snn_r0_sviz_english,deepseek_coder_v2_lite_q6_k_l,deepseek2,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T050718_math_logic_r0_sviz_saaq,gemma4_26b_a4b_iq4_nl,gemma4,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071627_rust_syntax_r0_sviz_rust,gemma4_26b_a4b_iq4_nl,gemma4,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072855_english_snn_r0_sviz_english,gemma4_26b_a4b_iq4_nl,gemma4,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T045523_math_logic_r0_sviz_saaq,kimi_vl_a3b_q6_k,deepseek2,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071023_rust_syntax_r0_sviz_rust,kimi_vl_a3b_q6_k,deepseek2,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072250_english_snn_r0_sviz_english,kimi_vl_a3b_q6_k,deepseek2,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T051023_math_logic_r0_sviz_saaq,llama_3_2_dark_champion_q5_k_m,llamamoe,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071930_rust_syntax_r0_sviz_rust,llama_3_2_dark_champion_q5_k_m,llamamoe,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T073159_english_snn_r0_sviz_english,llama_3_2_dark_champion_q5_k_m,llamamoe,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T045656_math_logic_r0_sviz_saaq,marco_nano_base_q8_0,qwen3moe,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071154_rust_syntax_r0_sviz_rust,marco_nano_base_q8_0,qwen3moe,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072421_english_snn_r0_sviz_english,marco_nano_base_q8_0,qwen3moe,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T050414_math_logic_r0_sviz_saaq,olmoe_1b_7b_f16,olmoe,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071325_rust_syntax_r0_sviz_rust,olmoe_1b_7b_f16,olmoe,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072553_english_snn_r0_sviz_english,olmoe_1b_7b_f16,olmoe,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T050851_math_logic_r0_sviz_saaq,qwen3_moe_iq3_m,qwen3moe,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T071759_rust_syntax_r0_sviz_rust,qwen3_moe_iq3_m,qwen3moe,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T073028_english_snn_r0_sviz_english,qwen3_moe_iq3_m,qwen3moe,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T045352_math_logic_r0_sviz_saaq,zaya1_8b_q8_0,zaya,csv_re4_path_tracing_telemetry,sviz_math_logic,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T070852_rust_syntax_r0_sviz_rust,zaya1_8b_q8_0,zaya,csv_re4_path_tracing_telemetry,sviz_rust_syntax,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
20260528T072119_english_snn_r0_sviz_english,zaya1_8b_q8_0,zaya,csv_re4_path_tracing_telemetry,sviz_english_snn,0,SaaqV1_5SqrtRate,True,"symlinked,symlinked,symlinked"
