timestamp_ms,gpu_temp_c,gpu_power_w,cpu_tctl_c,cpu_package_power_w
1775992159648,60,260.546,77.125,152.89844
1775992159706,60,260.546,77.125,159.80208
1775992159763,60,260.546,77.125,157.98378
1775992159822,60,260.546,77.125,164.5234
1775992159879,60,260.546,77.125,166.4699
1775992159938,60,260.546,77.25,155.62593
1775992159996,60,260.546,77.25,157.08846
1775992160054,60,260.546,77.25,185.96312
1775992160112,60,260.546,77.375,164.63005
1775992160170,60,294.532,77.5,169.19186
1775992160228,60,294.532,77.5,167.41711
1775992160285,60,294.532,77.625,160.39558
1775992160343,60,294.532,77.625,147.00633
1775992160401,60,294.532,77.75,163.09834
1775992160458,60,294.532,77.75,162.02283
1775992160515,60,294.532,77.75,151.93553
1775992160573,60,294.532,77.75,157.06032
1775992160630,61,293.321,77.75,161.02774
1775992160687,61,293.321,77.75,157.10716
1775992160744,61,293.321,77.75,153.0696
1775992160802,61,293.321,77.75,162.35135
1775992160858,61,293.321,77.625,145.36343
1775992160914,61,293.321,77.5,124.1212
1775992160970,61,293.321,77.375,120.30732
1775992161027,61,293.321,77.125,121.19414
1775992161084,61,293.321,77.0,122.23081
1775992161141,60,294.32800000000003,76.875,122.692856
1775992161198,60,294.32800000000003,76.625,120.051254
1775992161255,60,294.32800000000003,76.5,117.92517
1775992161311,60,294.32800000000003,76.375,115.43312
1775992161368,60,294.32800000000003,76.25,118.537796
1775992161425,60,294.32800000000003,76.125,122.48612
1775992161482,60,294.32800000000003,76.0,127.92178
1775992161539,60,294.32800000000003,76.0,129.61243
1775992161596,60,294.32800000000003,75.875,129.79623
1775992161652,61,295.321,75.875,126.41164
1775992161708,61,295.321,75.75,127.96559
1775992161765,61,295.321,75.625,127.356255
1775992161821,61,295.321,75.625,127.007835
1775992161879,61,295.321,75.5,127.88282
1775992161936,61,295.321,75.5,124.80412
1775992161994,61,295.321,75.375,128.96024
1775992162052,61,295.321,75.25,123.62455
1775992162108,61,295.321,75.25,122.87074
1775992162164,60,296.738,75.125,125.021736
1775992162221,60,296.738,75.125,126.80449
1775992162278,60,296.738,75.0,122.38083
1775992162334,60,296.738,75.0,128.29938
1775992162391,60,296.738,74.875,127.81618
1775992162447,60,296.738,74.875,131.19601
1775992162504,60,296.738,74.75,126.774445
1775992162560,60,296.738,74.75,133.29338
1775992162617,60,296.738,74.75,127.67554
1775992162673,61,296.61,74.625,129.53897
1775992162729,61,296.61,74.625,131.18457
1775992162786,61,296.61,74.625,127.838745
1775992162843,61,296.61,74.625,129.13795
1775992162900,61,296.61,74.625,126.37997
1775992162957,61,296.61,74.625,123.335754
1775992163013,61,296.61,74.625,129.49776
1775992163070,61,296.61,74.625,127.7941
1775992163128,61,296.702,74.5,131.17068
1775992163184,61,296.702,74.5,127.13018
1775992163241,61,296.702,74.5,130.99493
1775992163298,61,296.702,74.5,127.096214
1775992163356,61,296.702,74.5,127.28824
1775992163412,61,296.702,74.5,133.16542
1775992163468,61,296.702,74.5,137.2521
1775992163525,61,296.702,74.5,136.6884
1775992163582,61,296.702,74.5,135.72746
1775992163639,55,293.556,74.625,137.14124
1775992163696,55,293.556,74.625,133.97585
1775992163752,55,293.556,74.625,134.31593
1775992163809,55,293.556,74.625,140.14055
1775992163866,55,293.556,74.625,132.99266
1775992163923,55,293.556,74.625,128.58188
1775992163980,55,293.556,74.5,123.587746
1775992164037,55,293.556,74.25,127.735664
1775992164093,55,293.556,74.125,124.147484
1775992164150,59,265.47,74.0,123.20104
1775992164206,59,265.47,73.875,127.76778
1775992164263,59,265.47,73.625,122.89061
1775992164320,59,265.47,73.5,124.11692
1775992164378,59,265.47,73.375,129.01218
1775992164434,59,265.47,73.125,132.18553
1775992164491,59,265.47,73.0,124.34912
1775992164547,59,265.47,72.875,124.34664
1775992164602,59,265.47,72.75,91.89228
1775992164656,60,262.511,72.5,81.72739
1775992164710,60,262.511,72.375,84.97792
1775992164763,60,262.511,72.25,86.32523
1775992164816,60,262.511,72.125,88.1942
1775992164870,60,262.511,71.875,91.22097
1775992164923,60,262.511,71.75,82.31933
1775992164976,60,262.511,71.625,80.05124
1775992165028,60,262.511,71.5,86.1398
1775992165085,60,262.511,71.375,106.81263
1775992165141,49,197.107,71.125,116.37484
1775992165197,49,197.107,71.0,114.62248
1775992165254,49,197.107,70.875,116.81124
1775992165309,49,197.107,70.75,112.97921
1775992165366,49,197.107,70.625,114.56768
1775992165421,49,197.107,70.375,113.99949
1775992165477,49,197.107,70.25,113.3527
1775992165533,49,197.107,70.125,113.14833
1775992165589,49,197.107,70.0,113.56206
1775992165644,61,180.669,69.875,116.57878
1775992165701,61,180.669,69.75,113.96731
1775992165757,61,180.669,69.625,113.144844
1775992165814,61,180.669,69.5,111.21559
1775992165870,61,180.669,69.375,117.08901
1775992165927,61,180.669,69.25,114.288155
1775992165982,61,180.669,69.125,109.610344
1775992166038,61,180.669,69.0,117.02833
1775992166095,61,180.669,68.875,115.8773
1775992166151,61,264.439,68.75,120.44916
1775992166206,61,264.439,68.75,123.83494
1775992166263,61,264.439,69.0,122.168175
1775992166319,61,264.439,69.0,120.54072
1775992166375,61,264.439,69.0,123.00641
1775992166431,61,264.439,69.0,128.41905
1775992166488,61,264.439,69.0,127.73876
1775992166545,61,264.439,69.125,132.69301
1775992166601,61,264.439,69.25,128.06285
1775992166658,60,314.29200000000003,69.125,120.15074
1775992166715,60,314.29200000000003,69.0,125.46771
1775992166770,60,314.29200000000003,68.875,118.87084
1775992166825,60,314.29200000000003,68.75,122.22175
1775992166882,60,314.29200000000003,68.625,122.52101
1775992166939,60,314.29200000000003,68.5,121.41425
1775992166995,60,314.29200000000003,68.5,121.036415
1775992167052,60,314.29200000000003,68.375,122.409325
1775992167108,60,314.29200000000003,68.25,120.55635
1775992167164,60,305.272,68.125,121.16296
1775992167220,60,305.272,68.0,120.18557
1775992167277,60,305.272,67.875,119.69026
1775992167333,60,305.272,67.75,121.46161
1775992167389,60,305.272,67.625,121.42243
1775992167445,60,305.272,67.5,121.16633
1775992167501,60,305.272,67.375,115.18436
1775992167557,60,305.272,67.375,120.81949
1775992167614,60,305.272,67.25,119.7812
1775992167670,60,298.573,67.125,119.8518
1775992167726,60,298.573,67.0,120.96782
1775992167783,60,298.573,66.875,120.65053
1775992167840,60,298.573,66.75,121.33116
1775992167896,60,298.573,66.625,118.20128
1775992167952,60,298.573,66.625,118.220474
1775992168009,60,298.573,66.5,117.80409
1775992168065,60,298.573,66.375,119.979385
1775992168121,60,298.595,66.25,121.75641
1775992168177,60,298.595,66.25,120.35295
1775992168233,60,298.595,66.125,118.89334
1775992168289,60,298.595,66.0,116.3042
1775992168346,60,298.595,66.0,117.76019
1775992168402,60,298.595,65.875,123.1792
1775992168459,60,298.595,65.875,129.66026
1775992168515,60,298.595,66.0,121.66817
1775992168573,60,298.595,66.125,129.75229
1775992168630,57,292.682,66.125,134.41162
1775992168686,57,292.682,66.25,120.92156
1775992168743,57,292.682,66.375,121.62298
1775992168799,57,292.682,66.375,129.09396
1775992168855,57,292.682,66.25,134.33046
1775992168912,57,292.682,66.125,128.10872
1775992168968,57,292.682,66.125,127.80886
1775992169024,57,292.682,66.0,128.94016
1775992169081,57,292.682,65.875,124.53434
1775992169137,60,269.714,65.875,123.88881
1775992169194,60,269.714,65.75,128.96892
1775992169249,60,269.714,65.625,125.88863
1775992169306,60,269.714,65.625,124.70688
1775992169362,60,269.714,65.5,121.81021
1775992169419,60,269.714,65.375,122.22603
1775992169475,60,269.714,65.25,123.0487
1775992169531,60,269.714,65.25,119.1205
1775992169587,60,269.714,65.125,122.547615
1775992169643,60,270.609,65.0,118.73316
1775992169699,60,270.609,64.875,117.98066
1775992169755,60,270.609,64.875,120.374886
1775992169811,60,270.609,64.75,117.615166
1775992169867,60,270.609,64.625,125.29974
1775992169923,60,270.609,64.5,119.67347
1775992169980,60,270.609,64.5,115.461975
1775992170037,60,270.609,64.375,115.91655
1775992170094,60,270.609,64.25,117.21196
1775992170151,61,299.188,64.25,111.44148
