Complexity,Loss,Equation
1,0.02874280215921863,"0.2374392309918296"
3,0.02116532882828431,"avg_pop_firing_rate_hz * 0.01271847303053858"
4,0.01671524695518462,"sqrt(avg_pop_firing_rate_hz) * 0.07802501945654977"
5,0.008036748080761196,"(avg_pop_firing_rate_hz - -15.832956655169225) * 0.008771576272701703"
6,0.0057529443395739595,"(sqrt(avg_pop_firing_rate_hz) * 0.05564542509247747) - -0.12880184204829306"
7,0.0027764304172600398,"(sqrt(avg_pop_firing_rate_hz) * 0.06285974960894639) + square(saaq_delta_q_prev)"
8,0.0005965954870196501,"(sqrt(avg_pop_firing_rate_hz) * 0.05727633160985141) - (saaq_delta_q_prev / -2.015263764843582)"
9,0.00035985421303411476,"(sqrt(sqrt(avg_pop_firing_rate_hz)) * 0.1389007921030966) - (saaq_delta_q_prev / -2.058398962483087)"
10,0.0003587497022570449,"(sqrt(sqrt(sqrt(avg_pop_firing_rate_hz))) * 0.21514211639110153) - (saaq_delta_q_prev / -2.075594801395888)"
11,0.00011769400479346367,"((sqrt(sqrt(avg_pop_firing_rate_hz)) * 0.13383828893843885) - (saaq_delta_q_prev / -2.395621672234193)) + 0.028788486228141053"
12,9.031668416737576e-5,"((sqrt(sqrt(sqrt(avg_pop_firing_rate_hz))) * 0.20700857351385393) + 0.030249685628979936) - (saaq_delta_q_prev / -2.4394731186370557)"
