timestamp_ms,avg_pop_firing_rate_hz,membrane_dv_dt,routing_entropy,saaq_delta_q_prev,saaq_delta_q_target
1775992159648,0.000000,0.000000,1.000000,0.000000,0.020000
1775992159706,32.058189,3.744596,1.000000,0.020000,0.347846
1775992159763,0.000000,-3.810291,1.000000,0.347846,0.162777
1775992159822,0.000000,0.000000,1.000000,0.162777,0.104644
1775992159879,30.324835,3.839241,1.000000,0.104644,0.392807
1775992159938,28.005827,-0.082822,1.000000,0.392807,0.503431
1775992159996,0.000000,-3.688797,1.000000,0.503431,0.244896
1775992160054,28.791758,3.780389,1.000000,0.244896,0.465150
1775992160112,26.636585,-0.102206,0.999924,0.465150,0.540841
1775992160170,23.605873,-0.040235,0.995136,0.540841,0.575264
1775992160228,0.000000,-3.637949,0.995947,0.575264,0.281947
1775992160285,0.000000,0.000000,0.996625,0.281947,0.165937
1775992160343,30.441811,3.710504,0.996263,0.165937,0.422645
1775992160401,27.141703,0.009621,0.978702,0.422645,0.515612
1775992160458,0.000000,-3.785390,0.982050,0.515612,0.246674
1775992160515,29.057018,3.792974,0.982246,0.246674,0.462650
1775992160573,25.895744,-0.019448,0.966116,0.462650,0.533606
1775992160630,30.256306,0.018545,0.950062,0.533606,0.567673
1775992160687,0.000000,-3.791730,0.957177,0.567673,0.268708
1775992160744,0.000000,0.000000,0.963434,0.268708,0.152415
1775992160802,31.047953,3.785124,0.967640,0.152415,0.410635
1775992160858,29.331751,-0.067274,0.952450,0.410635,0.503348
1775992160914,22.356304,0.029856,0.946527,0.503348,0.532168
1775992160970,0.000000,-3.882888,0.954048,0.532168,0.248708
1775992161027,0.000000,0.000000,0.960687,0.248708,0.141466
1775992161084,0.000000,0.000000,0.966500,0.141466,0.086862
1775992161141,31.901041,3.822087,0.971552,0.086862,0.377699
1775992161198,0.000000,-3.822087,0.975916,0.377699,0.173366
1775992161255,29.570997,3.760466,0.975335,0.173366,0.422822
1775992161311,0.000000,-3.827617,0.979167,0.422822,0.197425
1775992161368,0.000000,0.000000,0.982446,0.197425,0.119150
1775992161425,31.901041,3.917978,0.984414,0.119150,0.398021
1775992161482,28.234650,-0.116571,0.973875,0.398021,0.500580
1775992161539,0.000000,-3.801407,0.977914,0.500580,0.237870
1775992161596,0.000000,0.000000,0.981375,0.237870,0.139968
1775992161652,32.540455,3.852082,0.982424,0.139968,0.407789
1775992161708,0.000000,-3.852082,0.985221,0.407789,0.190573
1775992161765,0.000000,0.000000,0.987595,0.190573,0.116617
1775992161821,0.000000,0.000000,0.989605,0.116617,0.078562
1775992161879,0.000000,0.000000,0.991301,0.078562,0.059112
1775992161936,0.000000,0.000000,0.992730,0.059112,0.049284
1775992161994,0.000000,0.000000,0.993930,0.049284,0.044414
1775992162052,0.000000,0.000000,0.994937,0.044414,0.042083
1775992162108,32.470703,3.829279,0.995780,0.042083,0.359332
1775992162164,56.082588,1.228710,0.995928,0.359332,0.498325
1775992162221,0.000000,-4.969253,0.996609,0.498325,0.228758
1775992162278,0.000000,0.000000,0.997178,0.228758,0.138390
1775992162334,32.645088,3.912583,0.997653,0.138390,0.410619
1775992162391,0.000000,-3.843941,0.998049,0.410619,0.194692
1775992162447,0.000000,0.000000,0.998378,0.194692,0.120916
1775992162504,0.000000,0.000000,0.998653,0.120916,0.082607
1775992162560,0.000000,0.000000,0.998881,0.082607,0.062732
1775992162617,0.000000,0.000000,0.999071,0.062732,0.052435
1775992162673,32.784595,3.837435,0.999229,0.052435,0.365486
1775992162729,0.000000,-3.837435,0.999360,0.365486,0.171551
1775992162786,0.000000,0.000000,0.999469,0.171551,0.109100
1775992162843,0.000000,0.000000,0.999560,0.109100,0.076644
1775992162900,0.000000,0.000000,0.999635,0.076644,0.059782
1775992162957,0.000000,0.000000,0.999697,0.059782,0.051026
1775992163013,0.000000,0.000000,0.999749,0.051026,0.046483
1775992163070,0.000000,0.000000,0.999792,0.046483,0.044130
1775992163128,0.000000,0.000000,0.999828,0.044130,0.042913
1775992163184,0.000000,0.000000,0.999857,0.042913,0.042286
1775992163241,0.000000,0.000000,0.999881,0.042286,0.041965
1775992163298,0.000000,0.000000,0.999902,0.041965,0.041802
1775992163356,0.000000,0.000000,0.999919,0.041802,0.041721
1775992163412,0.000000,0.000000,0.999933,0.041721,0.041681
1775992163468,33.203125,3.878332,0.999944,0.041681,0.360446
1775992163525,0.000000,-3.810291,0.999954,0.360446,0.169320
1775992163582,0.000000,0.000000,0.999962,0.169320,0.108039
1775992163639,32.140900,3.813477,0.999968,0.108039,0.394309
1775992163696,0.000000,-3.813477,0.999974,0.394309,0.186900
1775992163752,0.000000,0.000000,0.999978,0.186900,0.117184
1775992163809,0.000000,0.000000,0.999982,0.117184,0.080932
1775992163866,0.000000,0.000000,0.999985,0.080932,0.062082
1775992163923,31.832512,3.761009,0.999988,0.062082,0.369890
1775992163980,0.000000,-3.761009,0.999990,0.369890,0.174731
1775992164037,0.000000,0.000000,0.999992,0.174731,0.110858
1775992164093,32.679966,3.965456,0.999993,0.110858,0.397299
1775992164150,52.802906,2.069279,0.999624,0.397299,0.527213
1775992164206,0.000000,-6.051074,0.999688,0.527213,0.233578
1775992164263,0.000000,-0.016476,0.999742,0.233578,0.141244
1775992164320,0.000000,-0.003076,0.999786,0.141244,0.093373
1775992164378,31.856144,3.766227,0.999822,0.093373,0.386181
1775992164434,30.482700,0.020642,0.996925,0.386181,0.500405
1775992164491,0.000000,-3.853275,0.997442,0.500405,0.241167
1775992164547,0.000000,-0.000004,0.997873,0.241167,0.144981
1775992164602,31.924717,3.942150,0.997919,0.144981,0.414396
1775992164656,33.673321,1.296546,0.993932,0.414396,0.527238
1775992164710,0.000000,-5.311700,0.994939,0.527238,0.240034
1775992164763,0.000000,0.000000,0.995781,0.240034,0.143974
1775992164816,42.047466,5.858310,0.995966,0.143974,0.432643
1775992164870,0.000000,-5.678813,0.996641,0.432643,0.187514
1775992164923,30.807783,4.028398,0.987620,0.187514,0.435315
1775992164976,0.000000,-4.098362,0.989626,0.435315,0.203306
1775992165028,0.000000,-0.001974,0.991319,0.203306,0.123963
1775992165085,32.140900,3.848034,0.992744,0.123963,0.401490
1775992165141,65.813332,1.759920,0.980342,0.401490,0.522442
1775992165197,0.000000,-5.672419,0.983449,0.522442,0.231636
1775992165254,0.000000,-0.003910,0.986093,0.231636,0.137630
1775992165309,0.000000,-0.000594,0.988335,0.137630,0.089229
1775992165366,0.000000,-0.000089,0.990230,0.089229,0.064444
1775992165421,0.000000,-0.000017,0.991828,0.064444,0.051876
1775992165477,0.000000,-0.000003,0.993173,0.051876,0.045610
1775992165533,33.586773,3.975295,0.994302,0.045610,0.362331
1775992165589,0.000000,-3.975296,0.995249,0.362331,0.167709
1775992165644,37.677559,5.257946,0.996041,0.167709,0.438996
1775992165701,0.000000,-5.025261,0.996704,0.438996,0.197366
1775992165757,0.000000,-0.039803,0.997257,0.197366,0.121684
1775992165814,30.461897,3.760959,0.997719,0.121684,0.400429
1775992165870,28.564453,0.020479,0.994296,0.400429,0.507287
1775992165927,0.000000,-3.790145,0.995244,0.507287,0.244937
1775992165982,61.044033,6.535714,0.991809,0.244937,0.491086
1775992166038,22.844585,-2.666454,0.975809,0.491086,0.510382
1775992166095,0.000000,-3.686740,0.979575,0.510382,0.244446
1775992166151,28.250557,3.913476,0.978613,0.244446,0.461969
1775992166206,24.502842,0.034567,0.954741,0.461969,0.531518
1775992166263,0.000000,-3.878173,0.961296,0.531518,0.249867
1775992166319,0.000000,-0.000000,0.967031,0.249867,0.143337
1775992166375,0.000000,-0.000000,0.972012,0.143337,0.088937
1775992166431,0.000000,-0.000000,0.976312,0.088937,0.061510
1775992166488,0.000000,-0.000000,0.980004,0.061510,0.047986
1775992166545,32.483551,3.835031,0.983160,0.047986,0.359935
1775992166601,0.000000,-3.903513,0.985846,0.359935,0.165300
1775992166658,48.177082,5.523078,0.987313,0.165300,0.438649
